"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"151",10,"Larry Fitzgerald",FA,"-"," 2.0","+77","-0.6","53% (7/13)"
"152",11,"Cornell Powell",KC,"12"," 3.2","+24","-","-"
"153",11,"Alshon Jeffery",FA,"-","-","+28","-0.7","28% (2/7)"
"154",11,"Shi Smith",CAR,"13"," 9.2","+1","-","-"
"155",11,"Kelvin Harmon",WAS,"9"," 7.2","-","-","-"
"156",11,"Jaelon Darden",TB,"9"," 6.8","-","-","-"
"157",11,"Frank Darby",ATL,"6"," 5.6","+86","-","-"
"158",11,"Simi Fehoko",DAL,"7"," 7.6","-","-","-"
"159",11,"Braxton Berrios",NYJ,"6"," 7.2","-","+0.4","37% (6/16)"
"160",11,"J.J. Arcega-Whiteside",PHI,"14"," 5.4","-","-0.3","25% (1/4)"
"161",11,"Zay Jones",LV,"8"," 4.8","-","-0.5","37% (6/16)"
"162",11,"Trent Sherfield",SF,"6"," 6.0","+2","-0.3","15% (2/13)"
"163",11,"Cameron Batson",TEN,"13"," 4.8","-","-1.4","16% (2/12)"
"164",11,"Jakeem Grant Sr.",MIA,"14"," 6.0","-","-0.2","57% (8/14)"
"165",11,"Demetric Felton",CLE,"13"," 6.0","+9","-","-"
"166",11,"Andre Roberts",HOU,"10"," 2.2","-","-1.0","7% (1/14)"
"167",11,"Marquez Stevenson",BUF,"7"," 6.4","+116","-","-"
"168",11,"Equanimeous St. Brown",GB,"13"," 4.6","-","-1.0","9% (1/11)"
"169",11,"Mike Strachan",IND,"14"," 4.0","-7","-","-"
"170",11,"Dazz Newsome",CHI,"10"," 3.6","+39","-","-"
"171",11,"Noah Brown",DAL,"7"," 7.2","-17","+0.2","35% (5/14)"
"172",11,"Trinity Benson",DET,"9","-","-","-","-"
"173",11,"K.J. Osborn",MIN,"7"," 2.0","-34","-0.2","0% (0/3)"
"174",11,"Chad Beebe",FA,"-"," 1.6","-","+0.2","35% (5/14)"
"175",11,"Tajae Sharpe",ATL,"6"," 5.6","-","-1.0","0% (0/5)"
"176",11,"Kenny Stills",BUF,"7"," 6.2","-","-1.9","20% (2/10)"
"177",11,"Gunner Olszewski",NE,"14"," 5.6","+81","+0.3","20% (2/10)"
"178",11,"Christian Blake",ATL,"6"," 5.2","-","-1.4","7% (1/13)"
"179",11,"Mike Thomas",CIN,"10"," 1.0","-","-0.5","21% (3/14)"
"180",11,"Ray-Ray McCloud",PIT,"7"," 2.0","-","-0.1","25% (4/16)"
"181",11,"Richie James Jr.",SF,"6"," 5.6","-","+0.2","15% (2/13)"
"182",11,"Jake Kumerow",BUF,"7"," 6.4","-30","+1.0","25% (1/4)"
"183",11,"K.J. Hill Jr.",LAC,"7"," 7.8","-","-0.9","23% (3/13)"
"184",12,"Justin Watson",TB,"9"," 6.8","-","-0.6","40% (2/5)"
"185",12,"Chester Rogers",TEN,"13"," 5.2","-","-","-"
"186",12,"Tavon Austin",JAC,"7","-","-","-","-"
"187",12,"Jamal Agnew",JAC,"7"," 5.4","+48","-1.2","26% (4/15)"
"188",12,"John Hightower",PHI,"14"," 6.0","-","-0.9","30% (4/13)"
"189",12,"Sage Surratt",DET,"9"," 3.8","-","-","-"
"190",12,"Ashton Dulin",IND,"14"," 4.0","-","-0.5","27% (3/11)"
"191",12,"Racey McMath",TEN,"13","-","-","-","-"
"192",12,"Jauan Jennings",SF,"6","-","+21","-","-"
"193",12,"Marcus Kemp",KC,"12"," 3.2","-","-0.2","0% (0/7)"
