"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"146",11,"Josh Adams",NYJ,"6"," 6.0","-","0.0","25% (4/16)"
"147",11,"Pooka Williams Jr.",CIN,"10"," 6.4","-63","-","-"
"148",11,"Michael Burton",KC,"12"," 7.2","-","+0.1","28% (4/14)"
"149",11,"Otis Anderson Jr.",LAR,"11"," 4.4","-","-","-"
"150",11,"Patrick Laird",MIA,"14"," 5.8","-","-1.0","12% (2/16)"
"151",11,"Dwayne Washington",NO,"6"," 3.4","-","-0.2","10% (1/10)"
"152",11,"Scottie Phillips",HOU,"10"," 4.8","-","-0.1","20% (1/5)"
"153",11,"Trey Ragas",LV,"8"," 6.2","-","-","-"
"154",11,"Tre Harbison",CLE,"13"," 8.4","-","-","-"
"155",11,"Theo Riddick",LV,"8"," 6.2","-","+0.4","25% (1/4)"
"156",11,"Nate McCrary",DEN,"11"," 7.0","-","-","-"
"157",11,"Reggie Gilliam",BUF,"7"," 4.6","-","-1.1","15% (2/13)"
"158",11,"Stevie Scott III",FA,"-"," 3.2","-","-","-"
"159",11,"Alex Armah Jr.",NO,"6"," 3.4","-","-0.8","12% (2/16)"
"160",11,"Dedrick Mills",FA,"-"," 3.4","-","-","-"
"161",11,"Rico Dowdle",DAL,"7"," 4.0","-","-0.8","0% (0/10)"
"162",11,"Reggie Bonnafon",FA,"-"," 1.4","-","0.0","20% (1/5)"
"163",11,"Cullen Gillaspia",NYG,"10"," 2.2","-","0.0","16% (1/6)"
"164",11,"Caleb Huntley",ATL,"6"," 2.2","-","-","-"
"165",11,"Derek Watt",PIT,"7"," 8.2","-","-0.4","0% (0/13)"
"166",11,"Jason Huntley",PHI,"14"," 4.4","-","-1.1","0% (0/7)"
"167",11,"Lamar Miller",WAS,"9"," 5.0","-","-1.7","0% (0/4)"
"168",11,"Adam Prentice",NO,"6"," 7.4","-","-","-"
